Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Order_Month,Order_Year,Order_Day_of_Week
1,CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136,11,2016,1
2,CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.582,11,2016,1
3,CA-2016-138688,12-06-2016,16-06-2016,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714,6,2016,6
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,10,2015,6
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,10,2015,6
6,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694,6,2014,0
7,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656,6,2014,0
8,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,6,2014,0
9,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,6,2014,0
10,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47,6,2014,0
11,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,6,2014,0
12,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,6,2014,0
13,CA-2017-114412,15-04-2017,20-04-2017,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,4,2017,5
14,CA-2016-161389,05-12-2016,10-12-2016,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,12,2016,0
15,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,11,2015,6
16,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,11,2015,6
17,CA-2014-105893,11-11-2014,18-11-2014,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176,11,2014,1
18,CA-2014-167164,13-05-2014,15-05-2014,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99,5,2014,1
19,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824,8,2014,2
20,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011,8,2014,2
21,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384,8,2014,2
22,CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0,5.0596,12,2016,4
23,CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0,15.6884,12,2016,4
24,US-2017-156909,16-07-2017,18-07-2017,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,7,2017,6
25,CA-2015-106320,25-09-2015,30-09-2015,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649,9,2015,4
26,CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,1,2016,5
27,CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0,11.7741,1,2016,5
28,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,9,2015,3
29,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532,9,2015,3
30,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525,9,2015,3
31,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016,9,2015,3
32,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092,9,2015,3
33,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715,9,2015,3
34,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546,9,2015,3
35,CA-2017-107727,19-10-2017,23-10-2017,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468,10,2017,3
36,CA-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737,12,2016,3
37,CA-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963,12,2016,3
38,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415,12,2015,6
39,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764,12,2015,6
40,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147,12,2015,6
41,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564,12,2015,6
42,CA-2017-120999,10-09-2017,15-09-2017,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564,9,2017,6
43,CA-2016-101343,17-07-2016,22-07-2016,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0,3.894,7,2016,6
44,CA-2017-139619,19-09-2017,23-09-2017,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616,9,2017,1
45,CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,TEC-AC-10000171,45.98,2,0,19.7714,3,2016,4
46,CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,OFF-BI-10003291,17.46,2,0,8.2062,3,2016,4
47,CA-2014-146703,20-10-2014,25-10-2014,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0,8.4784,10,2014,0
48,CA-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,TEC-AC-10002167,45,3,0,4.95,6,2016,0
49,CA-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0,6.104,6,2016,0
50,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0,17.9634,4,2015,5
51,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0,35.3346,4,2015,5
52,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0,2.9568,4,2015,5
53,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0,17.0981,4,2015,5
54,CA-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0,6.2566,12,2016,6
55,CA-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855,12,2016,6
56,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-ST-10000604,208.56,6,0,52.14,6,2016,4
57,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-PA-10001569,32.4,5,0,15.552,6,2016,4
58,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098,6,2016,4
59,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-PA-10000587,14.56,2,0,6.9888,6,2016,4
60,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,TEC-AC-10002167,30,2,0,3.3,6,2016,4
61,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362,6,2016,4
62,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,OFF-AR-10001868,1.68,1,0,0.84,6,2016,4
63,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0,6.1512,11,2015,1
64,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612,11,2015,1
65,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0,68.9631,11,2015,1
66,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0,22.3328,11,2015,1
67,US-2015-164175,30-04-2015,05-05-2015,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225,4,2015,3
68,CA-2014-106376,05-12-2014,10-12-2014,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024,12,2014,4
69,CA-2014-106376,05-12-2014,10-12-2014,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988,12,2014,4
70,CA-2016-119823,04-06-2016,06-06-2016,First Class,KD-16270,OFF-PA-10000482,75.88,2,0,35.6636,6,2016,5
71,CA-2016-106075,18-09-2016,23-09-2016,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731,9,2016,6
72,CA-2017-114440,14-09-2017,17-09-2017,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0,8.763,9,2017,3
73,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912,4,2015,6
74,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213,4,2015,6
75,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196,4,2015,6
76,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344,12,2017,5
77,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248,12,2017,5
78,US-2017-118038,09-12-2017,11-12-2017,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724,12,2017,5
79,US-2014-147606,26-11-2014,01-12-2014,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475,11,2014,2
80,CA-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,OFF-AP-10002118,208.16,1,0,56.2032,6,2016,6
